Pattern,MatchesList,Use,Matches,Clue,Answer,Quality,Difficulty,Reviewed
_eline,"['feline', 'deline']",,feline deline,,,,,FALSE
fe_ine,"['feline', 'ferine']",,feline ferine,,,,,FALSE
op_ate,"['opiate', 'optate']",,opiate optate,,,,,FALSE
in_orn,"['inborn', 'inworn']",,inborn inworn,,,,,FALSE
_inery,"['winery', 'finery', 'vinery', 'pinery']",,winery finery vinery pinery,,,,,FALSE
win_ry,"['winery', 'wintry']",,winery wintry,,,,,FALSE
re_oin,"['rejoin', 'recoin']",,rejoin recoin,,,,,FALSE
_ether,"['nether', 'tether', 'aether', 'wether']",,nether tether aether wether,,,,,FALSE
n_ther,"['nether', 'nother']",,nether nother,,,,,FALSE
so_ver,"['soever', 'solver']",,soever solver,,,,,FALSE
baron_,"['barony', 'barong']",,barony barong,,,,,FALSE
_atted,"['matted', 'hatted']",,matted hatted,,,,,FALSE
ma_ted,"['matted', 'masted']",,matted masted,,,,,FALSE
_aurus,"['taurus', 'laurus']",,taurus laurus,,,,,FALSE
_eddle,"['meddle', 'peddle', 'heddle', 'reddle']",,meddle peddle heddle reddle,,,,,FALSE
bail_e,"['bailee', 'bailie']",,bailee bailie,,,,,FALSE
unhol_,"['unholy', 'unhold']",,unholy unhold,,,,,FALSE
_andit,"['bandit', 'pandit']",,bandit pandit,,,,,FALSE
_orted,"['ported', 'forted']",,ported forted,,,,,FALSE
my_lin,"['myelin', 'myolin']",,myelin myolin,,,,,FALSE
myel_n,"['myelin', 'myelon']",,myelin myelon,,,,,FALSE
_lider,"['slider', 'glider']",,slider glider,,,,,FALSE
sli_er,"['slider', 'sliver', 'slicer']",,slider sliver slicer,,,,,FALSE
ha_ker,"['hacker', 'hawker', 'hanker']",,hacker hawker hanker,,,,,FALSE
hacke_,"['hacker', 'hackee']",,hacker hackee,,,,,FALSE
_orian,"['dorian', 'norian', 'morian']",,dorian norian morian,,,,,FALSE
d_rian,"['dorian', 'durian']",,dorian durian,,,,,FALSE
fa_ces,"['faeces', 'fauces', 'fasces']",,faeces fauces fasces,,,,,FALSE
_allid,"['pallid', 'callid']",,pallid callid,,,,,FALSE
mar_on,"['maroon', 'marron']",,maroon marron,,,,,FALSE
palla_,"['pallas', 'pallah']",,pallas pallah,,,,,FALSE
inc_te,"['incite', 'incute']",,incite incute,,,,,FALSE
inci_e,"['incite', 'incise', 'incide']",,incite incise incide,,,,,FALSE
prop_l,"['propel', 'propyl']",,propel propyl,,,,,FALSE
fo_tal,"['foetal', 'fontal']",,foetal fontal,,,,,FALSE
_astel,"['pastel', 'wastel', 'vastel']",,pastel wastel vastel,,,,,FALSE
p_stel,"['pastel', 'postel', 'pistel']",,pastel postel pistel,,,,,FALSE
past_l,"['pastel', 'pastil']",,pastel pastil,,,,,FALSE
paste_,"['pastel', 'paster']",,pastel paster,,,,,FALSE
m_ssel,"['mussel', 'missel']",,mussel missel,,,,,FALSE
s_oppy,"['sloppy', 'shoppy']",,sloppy shoppy,,,,,FALSE
sl_ppy,"['sloppy', 'slippy']",,sloppy slippy,,,,,FALSE
p_wter,"['pewter', 'powter']",,pewter powter,,,,,FALSE
pe_ter,"['pewter', 'pester', 'pelter']",,pewter pester pelter,,,,,FALSE
_oreal,"['boreal', 'loreal']",,boreal loreal,,,,,FALSE
borea_,"['boreal', 'boreas']",,boreal boreas,,,,,FALSE
me_ino,"['merino', 'medino']",,merino medino,,,,,FALSE
re_ast,"['recast', 'repast', 'remast']",,recast repast remast,,,,,FALSE
reca_t,"['recast', 'recant']",,recast recant,,,,,FALSE
stro_d,"['stroud', 'strond']",,stroud strond,,,,,FALSE
strou_,"['stroud', 'strout']",,stroud strout,,,,,FALSE
fickl_,"['fickle', 'fickly']",,fickle fickly,,,,,FALSE
b_gone,"['bygone', 'begone']",,bygone begone,,,,,FALSE
p_ndit,"['pandit', 'pundit']",,pandit pundit,,,,,FALSE
l_gate,"['legate', 'ligate']",,legate ligate,,,,,FALSE
legat_,"['legate', 'legato']",,legate legato,,,,,FALSE
ca_ker,"['canker', 'cawker', 'calker', 'cauker']",,canker cawker calker cauker,,,,,FALSE
si_net,"['signet', 'sinnet']",,signet sinnet,,,,,FALSE
signe_,"['signet', 'signer']",,signet signer,,,,,FALSE
ultim_,"['ultimo', 'ultima', 'ultime']",,ultimo ultima ultime,,,,,FALSE
benz_l,"['benzyl', 'benzol', 'benzal']",,benzyl benzol benzal,,,,,FALSE
_ooped,"['looped', 'pooped']",,looped pooped,,,,,FALSE
loope_,"['looped', 'looper']",,looped looper,,,,,FALSE
dogge_,"['dogged', 'dogger', 'dogget']",,dogged dogger dogget,,,,,FALSE
_alved,"['halved', 'valved']",,halved valved,,,,,FALSE
hal_ed,"['halved', 'haloed']",,halved haloed,,,,,FALSE
b_ster,"['buster', 'bister']",,buster bister,,,,,FALSE
_elder,"['welder', 'gelder']",,welder gelder,,,,,FALSE
we_der,"['welder', 'weeder', 'wedder']",,welder weeder wedder,,,,,FALSE
wel_er,"['welder', 'welter']",,welder welter,,,,,FALSE
_ntice,"['entice', 'intice']",,entice intice,,,,,FALSE
_onian,"['ionian', 'aonian']",,ionian aonian,,,,,FALSE
sluic_,"['sluice', 'sluicy']",,sluice sluicy,,,,,FALSE
_leigh,"['sleigh', 'fleigh']",,sleigh fleigh,,,,,FALSE
s_eigh,"['sleigh', 'sweigh']",,sleigh sweigh,,,,,FALSE
a_tern,"['astern', 'altern']",,astern altern,,,,,FALSE
aster_,"['astern', 'astert']",,astern astert,,,,,FALSE
flute_,"['fluted', 'fluter']",,fluted fluter,,,,,FALSE
m_nger,"['manger', 'monger']",,manger monger,,,,,FALSE
ma_ger,"['manger', 'mauger', 'maiger']",,manger mauger maiger,,,,,FALSE
_omish,"['romish', 'homish']",,romish homish,,,,,FALSE
ro_ish,"['romish', 'ropish']",,romish ropish,,,,,FALSE
romis_,"['romish', 'romist']",,romish romist,,,,,FALSE
_rrant,"['errant', 'arrant']",,errant arrant,,,,,FALSE
co_ter,"['cotter', 'coster', 'colter', 'cooter']",,cotter coster colter cooter,,,,,FALSE
cott_r,"['cotter', 'cottar']",,cotter cottar,,,,,FALSE
_orsel,"['morsel', 'dorsel', 'torsel']",,morsel dorsel torsel,,,,,FALSE
_imble,"['nimble', 'wimble', 'dimble', 'fimble']",,nimble wimble dimble fimble,,,,,FALSE
ni_ble,"['nimble', 'nibble']",,nimble nibble,,,,,FALSE
nimbl_,"['nimble', 'nimbly']",,nimble nimbly,,,,,FALSE
im_ute,"['impute', 'immute']",,impute immute,,,,,FALSE
_arken,"['darken', 'harken', 'barken']",,darken harken barken,,,,,FALSE
gr_tto,"['grotto', 'gretto']",,grotto gretto,,,,,FALSE
plat_n,"['platen', 'platin', 'platan']",,platen platin platan,,,,,FALSE
plate_,"['platen', 'plater', 'platel']",,platen plater platel,,,,,FALSE
ve_nal,"['vernal', 'veinal']",,vernal veinal,,,,,FALSE
affi_e,"['affine', 'affile']",,affine affile,,,,,FALSE
de_ile,"['defile', 'decile', 'debile']",,defile decile debile,,,,,FALSE
worse_,"['worsen', 'worser']",,worsen worser,,,,,FALSE
_inned,"['tinned', 'finned']",,tinned finned,,,,,FALSE
tinne_,"['tinned', 'tinner', 'tinnen']",,tinned tinner tinnen,,,,,FALSE
_usset,"['russet', 'gusset']",,russet gusset,,,,,FALSE
_osher,"['kosher', 'cosher']",,kosher cosher,,,,,FALSE
a_tral,"['astral', 'antral']",,astral antral,,,,,FALSE
_iggle,"['giggle', 'wiggle', 'jiggle', 'niggle', 'riggle', 'higgle']",,giggle wiggle jiggle niggle riggle higgle,,,,,FALSE
g_ggle,"['giggle', 'goggle', 'gaggle', 'guggle']",,giggle goggle gaggle guggle,,,,,FALSE
gi_gle,"['giggle', 'gingle']",,giggle gingle,,,,,FALSE
giggl_,"['giggle', 'giggly']",,giggle giggly,,,,,FALSE
p_ndar,"['pindar', 'pandar']",,pindar pandar,,,,,FALSE
pind_r,"['pindar', 'pinder']",,pindar pinder,,,,,FALSE
pinda_,"['pindar', 'pindal']",,pindar pindal,,,,,FALSE
_abile,"['labile', 'habile']",,labile habile,,,,,FALSE
urch_n,"['urchin', 'urchon']",,urchin urchon,,,,,FALSE
en_ore,"['encore', 'engore']",,encore engore,,,,,FALSE
_atchy,"['patchy', 'catchy']",,patchy catchy,,,,,FALSE
p_tchy,"['patchy', 'pitchy']",,patchy pitchy,,,,,FALSE
adoni_,"['adonis', 'adonic']",,adonis adonic,,,,,FALSE
_erkin,"['perkin', 'jerkin', 'merkin']",,perkin jerkin merkin,,,,,FALSE
_intry,"['wintry', 'vintry']",,wintry vintry,,,,,FALSE
c_rium,"['cerium', 'corium']",,cerium corium,,,,,FALSE
_epsin,"['pepsin', 'sepsin']",,pepsin sepsin,,,,,FALSE
cur_ew,"['curfew', 'curlew']",,curfew curlew,,,,,FALSE
foli_r,"['foliar', 'folier']",,foliar folier,,,,,FALSE
b_wler,"['bowler', 'bawler']",,bowler bawler,,,,,FALSE
bow_er,"['bowler', 'bowyer']",,bowler bowyer,,,,,FALSE
bowle_,"['bowler', 'bowleg']",,bowler bowleg,,,,,FALSE
s_lvan,"['sylvan', 'silvan']",,sylvan silvan,,,,,FALSE
_oggle,"['toggle', 'goggle', 'boggle', 'joggle', 'coggle']",,toggle goggle boggle joggle coggle,,,,,FALSE
ca_man,"['cayman', 'carman', 'cabman', 'caiman']",,cayman carman cabman caiman,,,,,FALSE
_linch,"['clinch', 'flinch']",,clinch flinch,,,,,FALSE
c_inch,"['clinch', 'chinch']",,clinch chinch,,,,,FALSE
cl_nch,"['clinch', 'clench', 'clunch']",,clinch clench clunch,,,,,FALSE
st_ver,"['stover', 'stiver']",,stover stiver,,,,,FALSE
flori_,"['florid', 'florin']",,florid florin,,,,,FALSE
fe_ter,"['fetter', 'fester', 'felter', 'feuter']",,fetter fester felter feuter,,,,,FALSE
ru_ous,"['rufous', 'rugous']",,rufous rugous,,,,,FALSE
ma_que,"['masque', 'marque']",,masque marque,,,,,FALSE
_erity,"['verity', 'ferity']",,verity ferity,,,,,FALSE
s_icer,"['spicer', 'slicer', 'shicer']",,spicer slicer shicer,,,,,FALSE
eth_ne,"['ethane', 'ethene', 'ethine']",,ethane ethene ethine,,,,,FALSE
fa_cet,"['faucet', 'fascet']",,faucet fascet,,,,,FALSE
fauce_,"['faucet', 'fauces']",,faucet fauces,,,,,FALSE
ru_tle,"['rustle', 'ruttle']",,rustle ruttle,,,,,FALSE
le_ity,"['levity', 'lenity']",,levity lenity,,,,,FALSE
levit_,"['levity', 'levite']",,levity levite,,,,,FALSE
mee_ly,"['meekly', 'meetly']",,meekly meetly,,,,,FALSE
jovia_,"['jovial', 'jovian']",,jovial jovian,,,,,FALSE
cr_tch,"['crotch', 'crutch', 'cratch']",,crotch crutch cratch,,,,,FALSE
sette_,"['setter', 'settee']",,setter settee,,,,,FALSE
_azily,"['lazily', 'hazily', 'mazily']",,lazily hazily mazily,,,,,FALSE
repas_,"['repast', 'repass']",,repast repass,,,,,FALSE
_oiter,"['goiter', 'loiter']",,goiter loiter,,,,,FALSE
g_iter,"['goiter', 'gaiter']",,goiter gaiter,,,,,FALSE
a_duce,"['adduce', 'abduce']",,adduce abduce,,,,,FALSE
add_ce,"['adduce', 'addice']",,adduce addice,,,,,FALSE
adduc_,"['adduce', 'adduct']",,adduce adduct,,,,,FALSE
un_ase,"['unease', 'uncase']",,unease uncase,,,,,FALSE
ja_ger,"['jaeger', 'jagger']",,jaeger jagger,,,,,FALSE
in_use,"['infuse', 'incuse', 'intuse']",,infuse incuse intuse,,,,,FALSE
_erret,"['ferret', 'terret']",,ferret terret,,,,,FALSE
ferre_,"['ferret', 'ferrer']",,ferret ferrer,,,,,FALSE
t_rsal,"['tarsal', 'torsal']",,tarsal torsal,,,,,FALSE
tars_l,"['tarsal', 'tarsel']",,tarsal tarsel,,,,,FALSE
di_ter,"['dieter', 'dister']",,dieter dister,,,,,FALSE
vir_le,"['virile', 'virole']",,virile virole,,,,,FALSE
_llure,"['allure', 'illure']",,allure illure,,,,,FALSE
feti_h,"['fetish', 'fetich']",,fetish fetich,,,,,FALSE
_easel,"['weasel', 'teasel']",,weasel teasel,,,,,FALSE
we_sel,"['weasel', 'weesel']",,weasel weesel,,,,,FALSE
wea_el,"['weasel', 'weanel']",,weasel weanel,,,,,FALSE
wease_,"['weasel', 'weaser']",,weasel weaser,,,,,FALSE
_arten,"['marten', 'harten']",,marten harten,,,,,FALSE
marte_,"['marten', 'martel']",,marten martel,,,,,FALSE
_isarm,"['disarm', 'gisarm']",,disarm gisarm,,,,,FALSE
disar_,"['disarm', 'disard']",,disarm disard,,,,,FALSE
pin_al,"['pineal', 'pindal']",,pineal pindal,,,,,FALSE
lit_us,"['litmus', 'lituus']",,litmus lituus,,,,,FALSE
ha_ter,"['halter', 'hatter', 'hafter']",,halter hatter hafter,,,,,FALSE
hal_er,"['halter', 'halfer', 'halser']",,halter halfer halser,,,,,FALSE
_irman,"['airman', 'firman']",,airman firman,,,,,FALSE
di_per,"['diaper', 'dipper']",,diaper dipper,,,,,FALSE
manch_,"['manchu', 'manche']",,manchu manche,,,,,FALSE
cond_r,"['condor', 'conder']",,condor conder,,,,,FALSE
condo_,"['condor', 'condog']",,condor condog,,,,,FALSE
co_lin,"['collin', 'codlin']",,collin codlin,,,,,FALSE
colli_,"['collin', 'collie']",,collin collie,,,,,FALSE
batt_n,"['batten', 'batton']",,batten batton,,,,,FALSE
ura_us,"['uranus', 'uraeus']",,uranus uraeus,,,,,FALSE
_anier,"['lanier', 'panier', 'tanier']",,lanier panier tanier,,,,,FALSE
_ornet,"['cornet', 'hornet']",,cornet hornet,,,,,FALSE
cor_et,"['cornet', 'corset', 'corvet']",,cornet corset corvet,,,,,FALSE
teag_e,"['teague', 'teagle']",,teague teagle,,,,,FALSE
ti_ing,"['tiling', 'tiding']",,tiling tiding,,,,,FALSE
chor_a,"['chorea', 'chorda']",,chorea chorda,,,,,FALSE
chore_,"['chorea', 'choree']",,chorea choree,,,,,FALSE
s_rawl,"['sprawl', 'scrawl']",,sprawl scrawl,,,,,FALSE
pawne_,"['pawnee', 'pawner']",,pawnee pawner,,,,,FALSE
c_ster,"['caster', 'coster']",,caster coster,,,,,FALSE
_fflux,"['efflux', 'afflux']",,efflux afflux,,,,,FALSE
_asser,"['passer', 'masser']",,passer masser,,,,,FALSE
pa_ser,"['passer', 'parser', 'pauser']",,passer parser pauser,,,,,FALSE
pas_er,"['passer', 'paster']",,passer paster,,,,,FALSE
passe_,"['passer', 'passee']",,passer passee,,,,,FALSE
_espot,"['despot', 'bespot']",,despot bespot,,,,,FALSE
carp_l,"['carpal', 'carpel']",,carpal carpel,,,,,FALSE
sam_an,"['samoan', 'samian', 'sampan']",,samoan samian sampan,,,,,FALSE
sl_ver,"['sliver', 'slaver']",,sliver slaver,,,,,FALSE
_awker,"['hawker', 'cawker']",,hawker cawker,,,,,FALSE
h_wker,"['hawker', 'howker']",,hawker howker,,,,,FALSE
haw_er,"['hawker', 'hawser']",,hawker hawser,,,,,FALSE
hawke_,"['hawker', 'hawked', 'hawkey']",,hawker hawked hawkey,,,,,FALSE
_euter,"['neuter', 'feuter']",,neuter feuter,,,,,FALSE
r_tter,"['rutter', 'ratter']",,rutter ratter,,,,,FALSE
_inkle,"['winkle', 'tinkle', 'kinkle']",,winkle tinkle kinkle,,,,,FALSE
w_nkle,"['winkle', 'wankle']",,winkle wankle,,,,,FALSE
win_le,"['winkle', 'windle']",,winkle windle,,,,,FALSE
egois_,"['egoism', 'egoist']",,egoism egoist,,,,,FALSE
_ithic,"['lithic', 'mithic']",,lithic mithic,,,,,FALSE
lithi_,"['lithic', 'lithia']",,lithic lithia,,,,,FALSE
_obbin,"['bobbin', 'dobbin', 'robbin']",,bobbin dobbin robbin,,,,,FALSE
s_ugly,"['snugly', 'smugly']",,snugly smugly,,,,,FALSE
ho_ing,"['homing', 'holing']",,homing holing,,,,,FALSE
homin_,"['homing', 'hominy']",,homing hominy,,,,,FALSE
_oiner,"['joiner', 'coiner']",,joiner coiner,,,,,FALSE
sig_er,"['signer', 'sigher', 'sigger']",,signer sigher sigger,,,,,FALSE
teapo_,"['teapot', 'teapoy']",,teapot teapoy,,,,,FALSE
as_ail,"['assail', 'aswail']",,assail aswail,,,,,FALSE
ass_il,"['assail', 'assoil']",,assail assoil,,,,,FALSE
b_llow,"['bellow', 'billow', 'ballow']",,bellow billow ballow,,,,,FALSE
bello_,"['bellow', 'bellon']",,bellow bellon,,,,,FALSE
g_ider,"['glider', 'guider']",,glider guider,,,,,FALSE
glide_,"['glider', 'gliden']",,glider gliden,,,,,FALSE
u_shot,"['upshot', 'unshot']",,upshot unshot,,,,,FALSE
bro_ch,"['brooch', 'broach']",,brooch broach,,,,,FALSE
co_ger,"['conger', 'codger', 'cogger']",,conger codger cogger,,,,,FALSE
conge_,"['conger', 'congee']",,conger congee,,,,,FALSE
_elict,"['relict', 'delict']",,relict delict,,,,,FALSE
re_ict,"['relict', 'revict']",,relict revict,,,,,FALSE
rel_ct,"['relict', 'reluct']",,relict reluct,,,,,FALSE
truan_,"['truant', 'truand']",,truant truand,,,,,FALSE
in_ing,"['inning', 'inking']",,inning inking,,,,,FALSE
unw_ll,"['unwell', 'unwill']",,unwell unwill,,,,,FALSE
unwel_,"['unwell', 'unweld']",,unwell unweld,,,,,FALSE
theis_,"['theism', 'theist']",,theism theist,,,,,FALSE
rut_le,"['rutile', 'ruttle']",,rutile ruttle,,,,,FALSE
_eruse,"['peruse', 'ceruse']",,peruse ceruse,,,,,FALSE
peru_e,"['peruse', 'peruke', 'perule']",,peruse peruke perule,,,,,FALSE
_ailer,"['jailer', 'sailer', 'bailer', 'nailer', 'railer', 'wailer', 'gailer', 'vailer']",,jailer sailer bailer nailer railer wailer gailer vailer,,,,,FALSE
fenne_,"['fennel', 'fennec']",,fennel fennec,,,,,FALSE
_arlin,"['marlin', 'carlin']",,marlin carlin,,,,,FALSE
ma_lin,"['marlin', 'maslin', 'maalin']",,marlin maslin maalin,,,,,FALSE
e_hort,"['exhort', 'enhort']",,exhort enhort,,,,,FALSE
depo_e,"['depose', 'depone']",,depose depone,,,,,FALSE
der_is,"['dermis', 'dervis']",,dermis dervis,,,,,FALSE
dermi_,"['dermis', 'dermic']",,dermis dermic,,,,,FALSE
_ipper,"['dipper', 'ripper', 'tipper', 'nipper', 'kipper', 'sipper']",,dipper ripper tipper nipper kipper sipper,,,,,FALSE
d_pper,"['dipper', 'dapper', 'dopper', 'dupper', 'depper']",,dipper dapper dopper dupper depper,,,,,FALSE
s_aver,"['shaver', 'slaver']",,shaver slaver,,,,,FALSE
co_set,"['corset', 'cosset']",,corset cosset,,,,,FALSE
_iesta,"['fiesta', 'siesta']",,fiesta siesta,,,,,FALSE
ta_per,"['tamper', 'tapper']",,tamper tapper,,,,,FALSE
_eagle,"['beagle', 'teagle']",,beagle teagle,,,,,FALSE
bea_le,"['beagle', 'beadle']",,beagle beadle,,,,,FALSE
myopi_,"['myopia', 'myopic']",,myopia myopic,,,,,FALSE
al_edo,"['albedo', 'alcedo']",,albedo alcedo,,,,,FALSE
s_uffy,"['stuffy', 'snuffy']",,stuffy snuffy,,,,,FALSE
voide_,"['voided', 'voider']",,voided voider,,,,,FALSE
bel_ed,"['belted', 'belled']",,belted belled,,,,,FALSE
_rutch,"['crutch', 'grutch']",,crutch grutch,,,,,FALSE
pect_n,"['pectin', 'pecten']",,pectin pecten,,,,,FALSE
pecti_,"['pectin', 'pectic']",,pectin pectic,,,,,FALSE
ca_lin,"['carlin', 'caplin']",,carlin caplin,,,,,FALSE
car_in,"['carlin', 'carnin']",,carlin carnin,,,,,FALSE
ca_per,"['camper', 'capper', 'carper']",,camper capper carper,,,,,FALSE
cam_er,"['camper', 'camber']",,camper camber,,,,,FALSE
_adish,"['radish', 'jadish', 'eadish']",,radish jadish eadish,,,,,FALSE
r_dish,"['radish', 'rudish']",,radish rudish,,,,,FALSE
ra_ish,"['radish', 'ravish', 'rakish', 'rawish']",,radish ravish rakish rawish,,,,,FALSE
gr_mme,"['gramme', 'grimme']",,gramme grimme,,,,,FALSE
_roach,"['broach', 'proach']",,broach proach,,,,,FALSE
fin_ry,"['finery', 'finary']",,finery finary,,,,,FALSE
_eeler,"['keeler', 'peeler', 'feeler', 'heeler', 'reeler']",,keeler peeler feeler heeler reeler,,,,,FALSE
keele_,"['keeler', 'keeled']",,keeler keeled,,,,,FALSE
d_late,"['dilate', 'delate']",,dilate delate,,,,,FALSE
_anter,"['banter', 'canter', 'panter', 'santer', 'ranter']",,banter canter panter santer ranter,,,,,FALSE
b_nter,"['banter', 'bunter']",,banter bunter,,,,,FALSE
fal_er,"['falter', 'faller', 'falser']",,falter faller falser,,,,,FALSE
p_over,"['plover', 'prover']",,plover prover,,,,,FALSE
plo_er,"['plover', 'plower']",,plover plower,,,,,FALSE
s_ythe,"['scythe', 'swythe', 'stythe']",,scythe swythe stythe,,,,,FALSE
sc_the,"['scythe', 'scathe']",,scythe scathe,,,,,FALSE
co_lie,"['collie', 'coolie']",,collie coolie,,,,,FALSE
spine_,"['spinel', 'spined', 'spinet']",,spinel spined spinet,,,,,FALSE
_irrus,"['cirrus', 'birrus']",,cirrus birrus,,,,,FALSE
_eaper,"['reaper', 'leaper', 'heaper']",,reaper leaper heaper,,,,,FALSE
inde_t,"['indent', 'indebt']",,indent indebt,,,,,FALSE
mot_le,"['motile', 'mottle']",,motile mottle,,,,,FALSE
wi_ket,"['wicket', 'wisket']",,wicket wisket,,,,,FALSE
_orate,"['borate', 'lorate', 'morate']",,borate lorate morate,,,,,FALSE
b_rate,"['borate', 'berate']",,borate berate,,,,,FALSE
bo_ate,"['borate', 'bovate']",,borate bovate,,,,,FALSE
bora_e,"['borate', 'borage']",,borate borage,,,,,FALSE
figar_,"['figaro', 'figary']",,figaro figary,,,,,FALSE
squi_t,"['squint', 'squirt']",,squint squirt,,,,,FALSE
squin_,"['squint', 'squiny']",,squint squiny,,,,,FALSE
sh_nty,"['shanty', 'shinty']",,shanty shinty,,,,,FALSE
shan_y,"['shanty', 'shanny']",,shanty shanny,,,,,FALSE
je_ter,"['jester', 'jetter']",,jester jetter,,,,,FALSE
shint_,"['shinto', 'shinty']",,shinto shinty,,,,,FALSE
fes_ue,"['fescue', 'festue']",,fescue festue,,,,,FALSE
_itful,"['fitful', 'witful']",,fitful witful,,,,,FALSE
fit_ul,"['fitful', 'fithul']",,fitful fithul,,,,,FALSE
rai_er,"['raiser', 'raider', 'railer']",,raiser raider railer,,,,,FALSE
s_aler,"['sealer', 'scaler']",,sealer scaler,,,,,FALSE
_orrel,"['sorrel', 'borrel', 'worrel']",,sorrel borrel worrel,,,,,FALSE
quin_e,"['quince', 'quinze']",,quince quinze,,,,,FALSE
quinc_,"['quince', 'quinch']",,quince quinch,,,,,FALSE
cante_,"['canter', 'canted', 'cantel']",,canter canted cantel,,,,,FALSE
ti_kle,"['tickle', 'tinkle']",,tickle tinkle,,,,,FALSE
mani_c,"['maniac', 'manioc']",,maniac manioc,,,,,FALSE
ji_gle,"['jingle', 'jiggle']",,jingle jiggle,,,,,FALSE
tin_le,"['tingle', 'tinkle']",,tingle tinkle,,,,,FALSE
de_est,"['detest', 'devest']",,detest devest,,,,,FALSE
unwar_,"['unwary', 'unware', 'unwarp', 'unwarm']",,unwary unware unwarp unwarm,,,,,FALSE
ta_ker,"['talker', 'tasker', 'tacker']",,talker tasker tacker,,,,,FALSE
squea_,"['squeak', 'squeal']",,squeak squeal,,,,,FALSE
mes_al,"['mesial', 'mescal']",,mesial mescal,,,,,FALSE
mesia_,"['mesial', 'mesiad']",,mesial mesiad,,,,,FALSE
hu_tle,"['hustle', 'hurtle']",,hustle hurtle,,,,,FALSE
ba_man,"['batman', 'bagman', 'bayman']",,batman bagman bayman,,,,,FALSE
ho_ily,"['homily', 'holily']",,homily holily,,,,,FALSE
homi_y,"['homily', 'hominy']",,homily hominy,,,,,FALSE
mus_at,"['muscat', 'muskat']",,muscat muskat,,,,,FALSE
_ipped,"['lipped', 'hipped']",,lipped hipped,,,,,FALSE
ti_der,"['tinder', 'tidder']",,tinder tidder,,,,,FALSE
a_ther,"['anther', 'aether']",,anther aether,,,,,FALSE
ant_er,"['anther', 'antler']",,anther antler,,,,,FALSE
_uffin,"['muffin', 'ruffin', 'puffin', 'buffin']",,muffin ruffin puffin buffin,,,,,FALSE
_andal,"['sandal', 'vandal']",,sandal vandal,,,,,FALSE
s_ndal,"['sandal', 'sendal']",,sandal sendal,,,,,FALSE
san_al,"['sandal', 'santal']",,sandal santal,,,,,FALSE
_endal,"['kendal', 'sendal']",,kendal sendal,,,,,FALSE
cret_n,"['cretan', 'cretin']",,cretan cretin,,,,,FALSE
w_rder,"['warder', 'worder']",,warder worder,,,,,FALSE
_udity,"['nudity', 'rudity']",,nudity rudity,,,,,FALSE
_aecal,"['faecal', 'caecal']",,faecal caecal,,,,,FALSE
fa_cal,"['faecal', 'faucal']",,faecal faucal,,,,,FALSE
t_ther,"['tether', 'tither']",,tether tither,,,,,FALSE
tet_er,"['tether', 'tetter']",,tether tetter,,,,,FALSE
ratt_n,"['rattan', 'ratten']",,rattan ratten,,,,,FALSE
ne_tle,"['nettle', 'nestle']",,nettle nestle,,,,,FALSE
cable_,"['cabled', 'cablet']",,cabled cablet,,,,,FALSE
a_duct,"['adduct', 'abduct']",,adduct abduct,,,,,FALSE
h_tter,"['hitter', 'hatter']",,hitter hatter,,,,,FALSE
_estle,"['nestle', 'pestle']",,nestle pestle,,,,,FALSE
n_stle,"['nestle', 'nustle']",,nestle nustle,,,,,FALSE
tipto_,"['tiptoe', 'tiptop']",,tiptoe tiptop,,,,,FALSE
s_orer,"['storer', 'scorer', 'snorer', 'shorer']",,storer scorer snorer shorer,,,,,FALSE
st_rer,"['storer', 'starer']",,storer starer,,,,,FALSE
_iscus,"['discus', 'viscus']",,discus viscus,,,,,FALSE
re_ake,"['remake', 'retake', 'rewake']",,remake retake rewake,,,,,FALSE
rema_e,"['remake', 'remade']",,remake remade,,,,,FALSE
_owery,"['bowery', 'lowery', 'towery', 'dowery']",,bowery lowery towery dowery,,,,,FALSE
s_rite,"['sprite', 'skrite']",,sprite skrite,,,,,FALSE
s_ayer,"['slayer', 'stayer']",,slayer stayer,,,,,FALSE
a_dine,"['aldine', 'andine']",,aldine andine,,,,,FALSE
go_die,"['goldie', 'gowdie']",,goldie gowdie,,,,,FALSE
goldi_,"['goldie', 'goldin']",,goldie goldin,,,,,FALSE
pip_in,"['pippin', 'pipkin']",,pippin pipkin,,,,,FALSE
cree_y,"['creepy', 'creeky']",,creepy creeky,,,,,FALSE
ful_am,"['fulham', 'fullam']",,fulham fullam,,,,,FALSE
_icene,"['nicene', 'picene']",,nicene picene,,,,,FALSE
_rover,"['trover', 'prover', 'drover']",,trover prover drover,,,,,FALSE
h_ddle,"['huddle', 'heddle']",,huddle heddle,,,,,FALSE
fl_nch,"['flinch', 'flanch', 'flench']",,flinch flanch flench,,,,,FALSE
fli_ch,"['flinch', 'flitch']",,flinch flitch,,,,,FALSE
gril_e,"['grille', 'grilse']",,grille grilse,,,,,FALSE
grill_,"['grille', 'grilly']",,grille grilly,,,,,FALSE
_erber,"['berber', 'herber']",,berber herber,,,,,FALSE
_arlot,"['harlot', 'carlot']",,harlot carlot,,,,,FALSE
ti_ley,"['tilley', 'tidley']",,tilley tidley,,,,,FALSE
_imbus,"['nimbus', 'limbus']",,nimbus limbus,,,,,FALSE
squ_ll,"['squall', 'squill']",,squall squill,,,,,FALSE
squa_l,"['squall', 'squawl', 'squail']",,squall squawl squail,,,,,FALSE
